1;Nikulin;Ivan;Vasilievich;01.01.1990;Otdel;zam;á??? ????
2;Kalashnikov;Egor;Igorevich;02.02.2000;Otdel;zam;á??? ????
3;Anikin;Evgeniy;Victirovich;03.03.2003;Otdel;nachalnik;á??? ????
4;Zubenko;Mihail;Petrovich;04.04.2004;Otdel;director;á??? ????
5;Jdanov;Yaroslav;Artemovich;05.05.2005;Otdel;radovoi;á??? ????
6;Luparev;Sergey;Olegovich;06.06.2006;Otdel;radovoi;á??? ????
7;Drynkin;Alexey;Antonovich;07.07.2007;Otdel;director;á??? ????
8;Hizov;Egor;Olegovich;08.08.2008;Otdel;zam;ğñÍÎßàÒÓÛÜ
9;Petrov;Andrey;Maksimovich;09.09.2009;Otdel;radovoi;úûËÌØÙØÙÖ×
10;Mucuraev;Timur;Hamzatovich;10.10.2010;Otdel;radovoi;ôõÛÜÈÉİŞÕÖ
11;Acabin;Timur;Hamzatovich;10.10.2010;Otdel;radovoi;æçÌÍÉÊÆÇÌÍ
